what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268092204514
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268092210041
activated,view,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.views.AntView",1268092211045
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268092214606
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268092235033
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1268092236821
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268092237706
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1268092239828
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1268092243409
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1268092246001
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1268092247099
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1268092247558
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1268092251346
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268092253573
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1268092253574
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268092255124
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268092255125
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268092256084
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268092256842
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268092257352
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268092258321
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268092258321
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268092259490
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268092259491
activated,view,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui.views.AntView",1268092260532
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1268092260532
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268092261757
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268092262732
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268092264115
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268092292184
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268092293385
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268092530000
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1268092531568
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268092542826
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1268092543778
